"alpha","alpha_ci_lower","alpha_ci_upper","omega","omega_ci_lower","omega_ci_upper","true_omega","coverage_alpha","coverage_omega","bias_alpha","bias_omega","loading_type","n","n_items"
0.871241613902877,0.846245013043798,0.892013522499021,0.88910150010894,0.855624034026602,0.91065378236682,0.879053690759659,1,1,0.00781207685678154,-0.0100478093492808,"high_var",250,12
0.852215843342855,0.820956395630948,0.87460523243262,0.871582371098483,0.845739100460514,0.894918152415016,0.879053690759659,0,1,0.0268378474168044,0.00747131966117565,"high_var",250,12
0.876473491428971,0.856112408082205,0.897426340057784,0.894961120629,0.86939877126891,0.915850656815809,0.879053690759659,1,1,0.00258019933068843,-0.015907429869341,"high_var",250,12
0.895171404009937,0.876425893224111,0.914791457959011,0.907695327789232,0.881644734515676,0.922418726746407,0.879053690759659,1,0,-0.0161177132502784,-0.028641637029573,"high_var",250,12
0.881481266239911,0.856402805589266,0.90020359988182,0.892373107286154,0.868745080868529,0.912649343918975,0.879053690759659,1,1,-0.00242757548025185,-0.0133194165264954,"high_var",250,12
0.884289114748818,0.860163822050317,0.901096312190042,0.896060594559072,0.877967688765598,0.917713538471564,0.879053690759659,1,1,-0.00523542398915866,-0.0170069037994132,"high_var",250,12
0.872686395917236,0.849645686348532,0.889353332449928,0.887966991175453,0.866422034120704,0.903718912054095,0.879053690759659,1,1,0.00636729484242293,-0.00891330041579419,"high_var",250,12
0.884576038636079,0.85827345233822,0.905601445384314,0.89529321824681,0.861238353190465,0.914000448803965,0.879053690759659,1,1,-0.00552234787641992,-0.0162395274871515,"high_var",250,12
0.863825508683611,0.828926685144909,0.888043580811462,0.876641575271101,0.849522373433229,0.904501890651297,0.879053690759659,1,1,0.0152281820760478,0.0024121154885578,"high_var",250,12
0.864100166815944,0.84159707350995,0.888966918000951,0.879891289076403,0.856752043440598,0.903556778036706,0.879053690759659,1,1,0.0149535239437145,-0.000837598316743682,"high_var",250,12
0.88407136626487,0.859722696407427,0.902534648303025,0.896009102305225,0.867484106005521,0.913622862875426,0.879053690759659,1,1,-0.00501767550521071,-0.0169554115455661,"high_var",250,12
0.884739557136032,0.856916036810302,0.905392022550919,0.900302569157971,0.881336726826067,0.917982848001294,0.879053690759659,1,0,-0.0056858663763727,-0.0212488783983122,"high_var",250,12
0.856242261351553,0.823200616606282,0.878323388632351,0.872003279518039,0.84582650785361,0.893616635675691,0.879053690759659,0,1,0.0228114294081063,0.00705041124161998,"high_var",250,12
0.861579734446698,0.837374260891431,0.881417567051907,0.872128178874689,0.851162878741987,0.893678817351498,0.879053690759659,1,1,0.017473956312961,0.00692551188497037,"high_var",250,12
0.860532799114601,0.838866408197952,0.88269864502705,0.881392171315607,0.858098881852807,0.90008315612555,0.879053690759659,1,1,0.0185208916450584,-0.0023384805559481,"high_var",250,12
0.852053810437773,0.81843239818241,0.871522781393689,0.870523107379236,0.850462157404947,0.891161612992556,0.879053690759659,0,1,0.0269998803218858,0.00853058338042301,"high_var",250,12
0.866719218804251,0.836887334846749,0.885693069385172,0.880686574934057,0.850115409152945,0.901270575994696,0.879053690759659,1,1,0.012334471955408,-0.00163288417439755,"high_var",250,12
0.862674121980104,0.836446363972183,0.881986801976621,0.87460509419838,0.850484094730818,0.892158526671774,0.879053690759659,1,1,0.0163795687795552,0.00444859656127927,"high_var",250,12
0.861991334713066,0.830139154013582,0.882462165847862,0.876190252590067,0.85229350464101,0.89812652600076,0.879053690759659,1,1,0.0170623560465931,0.00286343816959223,"high_var",250,12
0.860436729288312,0.831789688197201,0.883661955605542,0.876011399522107,0.851109102725718,0.896839621044684,0.879053690759659,1,1,0.0186169614713468,0.00304229123755151,"high_var",250,12
0.849144880964503,0.805165323313383,0.873352532689729,0.864140741064496,0.834974592826897,0.896831674115978,0.879053690759659,0,1,0.0299088097951559,0.0149129496951629,"high_var",250,12
0.862782614207089,0.827869665698671,0.885145022540455,0.877479556242998,0.849556231597702,0.895389444296748,0.879053690759659,1,1,0.0162710765525704,0.00157413451666133,"high_var",250,12
0.853469175364161,0.82173348811296,0.877881608980977,0.869639359389706,0.833950527627602,0.893417054983873,0.879053690759659,0,1,0.0255845153954979,0.00941433136995262,"high_var",250,12
0.863556272723792,0.839538162586153,0.886026876572096,0.876926747832455,0.848133535828663,0.898298487090513,0.879053690759659,1,1,0.0154974180358673,0.00212694292720372,"high_var",250,12
0.870685718992612,0.841419193292494,0.891972814004103,0.883145661506023,0.856351929752547,0.907602383889297,0.879053690759659,1,1,0.0083679717670474,-0.00409197074636414,"high_var",250,12
0.865566053355029,0.830690740902297,0.883978081672516,0.881168497669761,0.859418058399797,0.898788592343734,0.879053690759659,1,1,0.0134876374046297,-0.00211480691010157,"high_var",250,12
0.854582794641516,0.820693458191134,0.879983064056194,0.871656318975689,0.843082370255988,0.893286429600136,0.879053690759659,1,1,0.0244708961181427,0.00739737178397037,"high_var",250,12
0.861123375135431,0.829524509707575,0.881704397080538,0.871148868222588,0.850316146325972,0.893266630219019,0.879053690759659,1,1,0.0179303156242275,0.00790482253707137,"high_var",250,12
0.87517346005788,0.84766007220977,0.894562079900822,0.88793987927409,0.866599251180737,0.907708112783402,0.879053690759659,1,1,0.00388023070177856,-0.00888618851443124,"high_var",250,12
0.856878728623723,0.82976190356077,0.879316435454574,0.870298435747539,0.84787075674604,0.890469771205313,0.879053690759659,1,1,0.0221749621359362,0.00875525501212004,"high_var",250,12
0.857708658338264,0.830881049432577,0.874861601243679,0.874451945419125,0.844743302479761,0.89829195241264,0.879053690759659,0,1,0.021345032421395,0.00460174534053404,"high_var",250,12
0.857001887417329,0.830789135435823,0.879580136906939,0.86684423759164,0.83793072625249,0.886214355855553,0.879053690759659,1,1,0.02205180334233,0.0122094531680192,"high_var",250,12
